pk,jsondata,polymorphic_type,id,name,description,markup_description,parameter_pk,number,abbr
73,"{""icon"": ""cff66ff""}",base,115-?,?,Not known,,19,2,
74,"{""icon"": ""c000000""}",base,116-1,1,present,,20,1,
75,"{""icon"": ""c990099""}",base,116-0,0,absent,,20,0,
76,"{""icon"": ""ccccccc""}",base,116-N/A,N/A,Not Applicable,,20,3,
77,"{""icon"": ""cff66ff""}",base,116-?,?,Not known,,20,2,
78,"{""icon"": ""c000000""}",base,117-1,1,present,,21,1,
79,"{""icon"": ""c990099""}",base,117-0,0,absent,,21,0,
80,"{""icon"": ""ccccccc""}",base,117-N/A,N/A,Not Applicable,,21,3,
81,"{""icon"": ""cff66ff""}",base,117-?,?,Not known,,21,2,
82,"{""icon"": ""c000000""}",base,118-1,1,present,,22,1,
83,"{""icon"": ""c990099""}",base,118-0,0,absent,,22,0,
84,"{""icon"": ""ccccccc""}",base,118-N/A,N/A,Not Applicable,,22,3,
85,"{""icon"": ""cff66ff""}",base,118-?,?,Not known,,22,2,
86,"{""icon"": ""c000000""}",base,119-1,1,present,,23,1,
87,"{""icon"": ""c990099""}",base,119-0,0,absent,,23,0,
88,"{""icon"": ""ccccccc""}",base,119-N/A,N/A,Not Applicable,,23,3,
89,"{""icon"": ""cff66ff""}",base,119-?,?,Not known,,23,2,
90,"{""icon"": ""c000000""}",base,12-1,1,present,,24,1,
91,"{""icon"": ""c9999ff""}",base,12-0,0,absent,,24,0,
92,"{""icon"": ""cff4400""}",base,12-?,?,Not known,,24,2,
93,"{""icon"": ""c000000""}",base,120-1,1,present,,25,1,
94,"{""icon"": ""c990099""}",base,120-0,0,absent,,25,0,
95,"{""icon"": ""ccccccc""}",base,120-N/A,N/A,Not Applicable,,25,3,
96,"{""icon"": ""cff66ff""}",base,120-?,?,Not known,,25,2,
97,"{""icon"": ""c000000""}",base,121-1,1,present,,26,1,
98,"{""icon"": ""c990099""}",base,121-0,0,absent,,26,0,
99,"{""icon"": ""ccccccc""}",base,121-N/A,N/A,Not Applicable,,26,3,
100,"{""icon"": ""cff66ff""}",base,121-?,?,Not known,,26,2,
101,"{""icon"": ""c000000""}",base,122-1,1,present,,27,1,
102,"{""icon"": ""c990099""}",base,122-0,0,absent,,27,0,
103,"{""icon"": ""ccccccc""}",base,122-N/A,N/A,Not Applicable,,27,3,
104,"{""icon"": ""cff66ff""}",base,122-?,?,Not known,,27,2,
105,"{""icon"": ""c000000""}",base,123-1,1,present,,28,1,
106,"{""icon"": ""c990099""}",base,123-0,0,absent,,28,0,
107,"{""icon"": ""ccccccc""}",base,123-N/A,N/A,Not Applicable,,28,3,
108,"{""icon"": ""cff66ff""}",base,123-?,?,Not known,,28,2,
109,"{""icon"": ""c000000""}",base,124-1,1,present,,29,1,
110,"{""icon"": ""c990099""}",base,124-0,0,absent,,29,0,
111,"{""icon"": ""ccccccc""}",base,124-N/A,N/A,Not Applicable,,29,3,
112,"{""icon"": ""cff66ff""}",base,124-?,?,Not known,,29,2,
113,"{""icon"": ""c000000""}",base,125-1,1,present,,30,1,
114,"{""icon"": ""c990099""}",base,125-0,0,absent,,30,0,
115,"{""icon"": ""ccccccc""}",base,125-N/A,N/A,Not Applicable,,30,3,
116,"{""icon"": ""cff66ff""}",base,125-?,?,Not known,,30,2,
117,"{""icon"": ""c000000""}",base,126-1,1,present,,31,1,
118,"{""icon"": ""c990099""}",base,126-0,0,absent,,31,0,
119,"{""icon"": ""ccccccc""}",base,126-N/A,N/A,Not Applicable,,31,3,
120,"{""icon"": ""cff66ff""}",base,126-?,?,Not known,,31,2,
121,"{""icon"": ""c000000""}",base,127-1,1,present,,32,1,
122,"{""icon"": ""c990099""}",base,127-0,0,absent,,32,0,
123,"{""icon"": ""ccccccc""}",base,127-N/A,N/A,Not Applicable,,32,3,
124,"{""icon"": ""cff66ff""}",base,127-?,?,Not known,,32,2,
125,"{""icon"": ""c000000""}",base,128-1,1,present,,33,1,
126,"{""icon"": ""c990099""}",base,128-0,0,absent,,33,0,
127,"{""icon"": ""ccccccc""}",base,128-N/A,N/A,Not Applicable,,33,3,
128,"{""icon"": ""cff66ff""}",base,128-?,?,Not known,,33,2,
129,"{""icon"": ""c000000""}",base,129-1,1,present,,34,1,
130,"{""icon"": ""c990099""}",base,129-0,0,absent,,34,0,
131,"{""icon"": ""ccccccc""}",base,129-N/A,N/A,Not Applicable,,34,3,
132,"{""icon"": ""cff66ff""}",base,129-?,?,Not known,,34,2,
133,"{""icon"": ""c000000""}",base,13-1,1,present,,35,1,
