pk,jsondata,polymorphic_type,id,name,description,markup_description,parameter_pk,number,abbr
752,"{""icon"": ""c990099""}",base,270-0,0,absent,,184,0,
753,"{""icon"": ""ccccccc""}",base,270-N/A,N/A,Not Applicable,,184,3,
754,"{""icon"": ""cff66ff""}",base,270-?,?,Not known,,184,2,
755,"{""icon"": ""c000000""}",base,271-1,1,present,,185,1,
756,"{""icon"": ""c990099""}",base,271-0,0,absent,,185,0,
757,"{""icon"": ""ccccccc""}",base,271-N/A,N/A,Not Applicable,,185,3,
758,"{""icon"": ""cff66ff""}",base,271-?,?,Not known,,185,2,
759,"{""icon"": ""c000000""}",base,272-1,1,present,,186,1,
760,"{""icon"": ""c990099""}",base,272-0,0,absent,,186,0,
761,"{""icon"": ""ccccccc""}",base,272-N/A,N/A,Not Applicable,,186,3,
762,"{""icon"": ""cff66ff""}",base,272-?,?,Not known,,186,2,
763,"{""icon"": ""c000000""}",base,273-1,1,present,,187,1,
764,"{""icon"": ""c990099""}",base,273-0,0,absent,,187,0,
765,"{""icon"": ""ccccccc""}",base,273-N/A,N/A,Not Applicable,,187,3,
766,"{""icon"": ""cff66ff""}",base,273-?,?,Not known,,187,2,
767,"{""icon"": ""c000000""}",base,274-1,1,present,,188,1,
768,"{""icon"": ""c990099""}",base,274-0,0,absent,,188,0,
769,"{""icon"": ""ccccccc""}",base,274-N/A,N/A,Not Applicable,,188,3,
770,"{""icon"": ""cff66ff""}",base,274-?,?,Not known,,188,2,
771,"{""icon"": ""c000000""}",base,275-1,1,present,,189,1,
772,"{""icon"": ""c990099""}",base,275-0,0,absent,,189,0,
773,"{""icon"": ""ccccccc""}",base,275-N/A,N/A,Not Applicable,,189,3,
774,"{""icon"": ""cff66ff""}",base,275-?,?,Not known,,189,2,
775,"{""icon"": ""c000000""}",base,276-1,1,present,,190,1,
776,"{""icon"": ""c990099""}",base,276-0,0,absent,,190,0,
777,"{""icon"": ""ccccccc""}",base,276-N/A,N/A,Not Applicable,,190,3,
778,"{""icon"": ""cff66ff""}",base,276-?,?,Not known,,190,2,
779,"{""icon"": ""c000000""}",base,277-1,1,present,,191,1,
780,"{""icon"": ""c990099""}",base,277-0,0,absent,,191,0,
781,"{""icon"": ""ccccccc""}",base,277-N/A,N/A,Not Applicable,,191,3,
782,"{""icon"": ""cff66ff""}",base,277-?,?,Not known,,191,2,
783,"{""icon"": ""c000000""}",base,278-1,1,present,,192,1,
784,"{""icon"": ""c990099""}",base,278-0,0,absent,,192,0,
785,"{""icon"": ""ccccccc""}",base,278-N/A,N/A,Not Applicable,,192,3,
786,"{""icon"": ""cff66ff""}",base,278-?,?,Not known,,192,2,
787,"{""icon"": ""c000000""}",base,279-1,1,present,,193,1,
788,"{""icon"": ""c990099""}",base,279-0,0,absent,,193,0,
789,"{""icon"": ""ccccccc""}",base,279-N/A,N/A,Not Applicable,,193,3,
790,"{""icon"": ""cff66ff""}",base,279-?,?,Not known,,193,2,
791,"{""icon"": ""c000000""}",base,28-1,1,present,,194,1,
792,"{""icon"": ""c990099""}",base,28-0,0,absent,,194,0,
793,"{""icon"": ""ccccccc""}",base,28-N/A,N/A,Not Applicable,,194,3,
794,"{""icon"": ""cff66ff""}",base,28-?,?,Not known,,194,2,
795,"{""icon"": ""c000000""}",base,280-1,1,present,,195,1,
796,"{""icon"": ""c990099""}",base,280-0,0,absent,,195,0,
797,"{""icon"": ""ccccccc""}",base,280-N/A,N/A,Not Applicable,,195,3,
798,"{""icon"": ""cff66ff""}",base,280-?,?,Not known,,195,2,
799,"{""icon"": ""c000000""}",base,281-1,1,present,,196,1,
800,"{""icon"": ""c990099""}",base,281-0,0,absent,,196,0,
801,"{""icon"": ""ccccccc""}",base,281-N/A,N/A,Not Applicable,,196,3,
802,"{""icon"": ""cff66ff""}",base,281-?,?,Not known,,196,2,
803,"{""icon"": ""c000000""}",base,282-1,1,present,,197,1,
804,"{""icon"": ""c990099""}",base,282-0,0,absent,,197,0,
805,"{""icon"": ""ccccccc""}",base,282-N/A,N/A,Not Applicable,,197,3,
806,"{""icon"": ""cff66ff""}",base,282-?,?,Not known,,197,2,
807,"{""icon"": ""c000000""}",base,283-1,1,present,,198,1,
808,"{""icon"": ""c990099""}",base,283-0,0,absent,,198,0,
809,"{""icon"": ""ccccccc""}",base,283-N/A,N/A,Not Applicable,,198,3,
810,"{""icon"": ""cff66ff""}",base,283-?,?,Not known,,198,2,
811,"{""icon"": ""c000000""}",base,284-1,1,present,,199,1,
812,"{""icon"": ""c990099""}",base,284-0,0,absent,,199,0,
813,"{""icon"": ""ccccccc""}",base,284-N/A,N/A,Not Applicable,,199,3,
814,"{""icon"": ""cff66ff""}",base,284-?,?,Not known,,199,2,
815,"{""icon"": ""c000000""}",base,285-1,1,present,,200,1,
816,"{""icon"": ""c990099""}",base,285-0,0,absent,,200,0,
817,"{""icon"": ""ccccccc""}",base,285-N/A,N/A,Not Applicable,,200,3,
818,"{""icon"": ""cff66ff""}",base,285-?,?,Not known,,200,2,
819,"{""icon"": ""c000000""}",base,286-1,1,present,,201,1,
820,"{""icon"": ""c990099""}",base,286-0,0,absent,,201,0,
821,"{""icon"": ""ccccccc""}",base,286-N/A,N/A,Not Applicable,,201,3,
822,"{""icon"": ""cff66ff""}",base,286-?,?,Not known,,201,2,
823,"{""icon"": ""c000000""}",base,287-1,1,present,,202,1,
824,"{""icon"": ""c990099""}",base,287-0,0,absent,,202,0,
825,"{""icon"": ""ccccccc""}",base,287-N/A,N/A,Not Applicable,,202,3,
826,"{""icon"": ""cff66ff""}",base,287-?,?,Not known,,202,2,
827,"{""icon"": ""c000000""}",base,288-1,1,present,,203,1,
828,"{""icon"": ""c990099""}",base,288-0,0,absent,,203,0,
829,"{""icon"": ""ccccccc""}",base,288-N/A,N/A,Not Applicable,,203,3,
830,"{""icon"": ""cff66ff""}",base,288-?,?,Not known,,203,2,
831,"{""icon"": ""c000000""}",base,289-1,1,present,,204,1,
832,"{""icon"": ""c990099""}",base,289-0,0,absent,,204,0,
833,"{""icon"": ""ccccccc""}",base,289-N/A,N/A,Not Applicable,,204,3,
834,"{""icon"": ""cff66ff""}",base,289-?,?,Not known,,204,2,
835,"{""icon"": ""c000000""}",base,29-1,1,present,,205,1,
836,"{""icon"": ""c990099""}",base,29-0,0,absent,,205,0,
837,"{""icon"": ""ccccccc""}",base,29-N/A,N/A,Not Applicable,,205,3,
838,"{""icon"": ""cff66ff""}",base,29-?,?,Not known,,205,2,
839,"{""icon"": ""c000000""}",base,290-1,1,present,,206,1,
840,"{""icon"": ""c990099""}",base,290-0,0,absent,,206,0,
841,"{""icon"": ""ccccccc""}",base,290-N/A,N/A,Not Applicable,,206,3,
842,"{""icon"": ""cff66ff""}",base,290-?,?,Not known,,206,2,
843,"{""icon"": ""c000000""}",base,291-1,1,present,,207,1,
844,"{""icon"": ""c990099""}",base,291-0,0,absent,,207,0,
845,"{""icon"": ""ccccccc""}",base,291-N/A,N/A,Not Applicable,,207,3,
846,"{""icon"": ""cff66ff""}",base,291-?,?,Not known,,207,2,
847,"{""icon"": ""c000000""}",base,292-1,1,present,,208,1,
848,"{""icon"": ""c990099""}",base,292-0,0,absent,,208,0,
849,"{""icon"": ""ccccccc""}",base,292-N/A,N/A,Not Applicable,,208,3,
850,"{""icon"": ""cff66ff""}",base,292-?,?,Not known,,208,2,
851,"{""icon"": ""c000000""}",base,293-1,1,present,,209,1,
852,"{""icon"": ""c990099""}",base,293-0,0,absent,,209,0,
853,"{""icon"": ""ccccccc""}",base,293-N/A,N/A,Not Applicable,,209,3,
854,"{""icon"": ""cff66ff""}",base,293-?,?,Not known,,209,2,
855,"{""icon"": ""c000000""}",base,294-1,1,present,,210,1,
856,"{""icon"": ""c990099""}",base,294-0,0,absent,,210,0,
857,"{""icon"": ""ccccccc""}",base,294-N/A,N/A,Not Applicable,,210,3,
858,"{""icon"": ""cff66ff""}",base,294-?,?,Not known,,210,2,
859,"{""icon"": ""c000000""}",base,295-1,1,present,,211,1,
860,"{""icon"": ""c990099""}",base,295-0,0,absent,,211,0,
861,"{""icon"": ""ccccccc""}",base,295-N/A,N/A,Not Applicable,,211,3,
862,"{""icon"": ""cff66ff""}",base,295-?,?,Not known,,211,2,
863,"{""icon"": ""c000000""}",base,296-1,1,present,,212,1,
864,"{""icon"": ""c990099""}",base,296-0,0,absent,,212,0,
865,"{""icon"": ""ccccccc""}",base,296-N/A,N/A,Not Applicable,,212,3,
866,"{""icon"": ""cff66ff""}",base,296-?,?,Not known,,212,2,
867,"{""icon"": ""c000000""}",base,297-1,1,present,,213,1,
868,"{""icon"": ""c990099""}",base,297-0,0,absent,,213,0,
869,"{""icon"": ""ccccccc""}",base,297-N/A,N/A,Not Applicable,,213,3,
870,"{""icon"": ""cff66ff""}",base,297-?,?,Not known,,213,2,
871,"{""icon"": ""c000000""}",base,3-1,1,present,,214,1,
872,"{""icon"": ""c9999ff""}",base,3-0,0,absent,,214,0,
873,"{""icon"": ""cff4400""}",base,3-?,?,Not known,,214,2,
874,"{""icon"": ""c000000""}",base,30-1,1,present,,215,1,
875,"{""icon"": ""c990099""}",base,30-0,0,absent,,215,0,
876,"{""icon"": ""ccccccc""}",base,30-N/A,N/A,Not Applicable,,215,3,
877,"{""icon"": ""cff66ff""}",base,30-?,?,Not known,,215,2,
878,"{""icon"": ""c000000""}",base,31-1,1,present,,216,1,
879,"{""icon"": ""c990099""}",base,31-0,0,absent,,216,0,
880,"{""icon"": ""ccccccc""}",base,31-N/A,N/A,Not Applicable,,216,3,
881,"{""icon"": ""cff66ff""}",base,31-?,?,Not known,,216,2,
882,"{""icon"": ""c000000""}",base,32-1,1,present,,217,1,
883,"{""icon"": ""c990099""}",base,32-0,0,absent,,217,0,
884,"{""icon"": ""ccccccc""}",base,32-N/A,N/A,Not Applicable,,217,3,
885,"{""icon"": ""cff66ff""}",base,32-?,?,Not known,,217,2,
886,"{""icon"": ""c000000""}",base,33-1,1,present,,218,1,
887,"{""icon"": ""c990099""}",base,33-0,0,absent,,218,0,
888,"{""icon"": ""ccccccc""}",base,33-N/A,N/A,Not Applicable,,218,3,
889,"{""icon"": ""cff66ff""}",base,33-?,?,Not known,,218,2,
890,"{""icon"": ""c000000""}",base,34-1,1,present,,219,1,
891,"{""icon"": ""c990099""}",base,34-0,0,absent,,219,0,
892,"{""icon"": ""ccccccc""}",base,34-N/A,N/A,Not Applicable,,219,3,
893,"{""icon"": ""cff66ff""}",base,34-?,?,Not known,,219,2,
894,"{""icon"": ""c000000""}",base,35-1,1,present,,220,1,
895,"{""icon"": ""c990099""}",base,35-0,0,absent,,220,0,
896,"{""icon"": ""ccccccc""}",base,35-N/A,N/A,Not Applicable,,220,3,
897,"{""icon"": ""cff66ff""}",base,35-?,?,Not known,,220,2,
898,"{""icon"": ""c000000""}",base,36-1,1,present,,221,1,
899,"{""icon"": ""c990099""}",base,36-0,0,absent,,221,0,
900,"{""icon"": ""ccccccc""}",base,36-N/A,N/A,Not Applicable,,221,3,
901,"{""icon"": ""cff66ff""}",base,36-?,?,Not known,,221,2,
902,"{""icon"": ""c000000""}",base,37-1,1,present,,222,1,
903,"{""icon"": ""c990099""}",base,37-0,0,absent,,222,0,
904,"{""icon"": ""ccccccc""}",base,37-N/A,N/A,Not Applicable,,222,3,
905,"{""icon"": ""cff66ff""}",base,37-?,?,Not known,,222,2,
906,"{""icon"": ""c000000""}",base,38-1,1,present,,223,1,
907,"{""icon"": ""c990099""}",base,38-0,0,absent,,223,0,
908,"{""icon"": ""ccccccc""}",base,38-N/A,N/A,Not Applicable,,223,3,
909,"{""icon"": ""cff66ff""}",base,38-?,?,Not known,,223,2,
910,"{""icon"": ""c000000""}",base,39-1,1,present,,224,1,
911,"{""icon"": ""c990099""}",base,39-0,0,absent,,224,0,
912,"{""icon"": ""ccccccc""}",base,39-N/A,N/A,Not Applicable,,224,3,
913,"{""icon"": ""cff66ff""}",base,39-?,?,Not known,,224,2,
914,"{""icon"": ""c000000""}",base,4-1,1,present,,225,1,
915,"{""icon"": ""c9999ff""}",base,4-0,0,absent,,225,0,
916,"{""icon"": ""cff4400""}",base,4-?,?,Not known,,225,2,
917,"{""icon"": ""c000000""}",base,40-1,1,present,,226,1,
918,"{""icon"": ""c990099""}",base,40-0,0,absent,,226,0,
919,"{""icon"": ""ccccccc""}",base,40-N/A,N/A,Not Applicable,,226,3,
920,"{""icon"": ""cff66ff""}",base,40-?,?,Not known,,226,2,
921,"{""icon"": ""c000000""}",base,41-1,1,present,,227,1,
922,"{""icon"": ""c990099""}",base,41-0,0,absent,,227,0,
923,"{""icon"": ""ccccccc""}",base,41-N/A,N/A,Not Applicable,,227,3,
924,"{""icon"": ""cff66ff""}",base,41-?,?,Not known,,227,2,
925,"{""icon"": ""c000000""}",base,42-1,1,present,,228,1,
926,"{""icon"": ""c990099""}",base,42-0,0,absent,,228,0,
927,"{""icon"": ""ccccccc""}",base,42-N/A,N/A,Not Applicable,,228,3,
928,"{""icon"": ""cff66ff""}",base,42-?,?,Not known,,228,2,
929,"{""icon"": ""c000000""}",base,43-1,1,present,,229,1,
930,"{""icon"": ""c990099""}",base,43-0,0,absent,,229,0,
931,"{""icon"": ""ccccccc""}",base,43-N/A,N/A,Not Applicable,,229,3,
932,"{""icon"": ""cff66ff""}",base,43-?,?,Not known,,229,2,
933,"{""icon"": ""c000000""}",base,44-1,1,present,,230,1,
934,"{""icon"": ""c990099""}",base,44-0,0,absent,,230,0,
935,"{""icon"": ""ccccccc""}",base,44-N/A,N/A,Not Applicable,,230,3,
936,"{""icon"": ""cff66ff""}",base,44-?,?,Not known,,230,2,
937,"{""icon"": ""c000000""}",base,45-1,1,present,,231,1,
938,"{""icon"": ""c990099""}",base,45-0,0,absent,,231,0,
939,"{""icon"": ""ccccccc""}",base,45-N/A,N/A,Not Applicable,,231,3,
940,"{""icon"": ""cff66ff""}",base,45-?,?,Not known,,231,2,
941,"{""icon"": ""c000000""}",base,46-1,1,present,,232,1,
942,"{""icon"": ""c990099""}",base,46-0,0,absent,,232,0,
943,"{""icon"": ""ccccccc""}",base,46-N/A,N/A,Not Applicable,,232,3,
944,"{""icon"": ""cff66ff""}",base,46-?,?,Not known,,232,2,
945,"{""icon"": ""c000000""}",base,47-1,1,present,,233,1,
946,"{""icon"": ""c990099""}",base,47-0,0,absent,,233,0,
947,"{""icon"": ""ccccccc""}",base,47-N/A,N/A,Not Applicable,,233,3,
948,"{""icon"": ""cff66ff""}",base,47-?,?,Not known,,233,2,
949,"{""icon"": ""c000000""}",base,48-1,1,present,,234,1,
950,"{""icon"": ""c990099""}",base,48-0,0,absent,,234,0,
951,"{""icon"": ""ccccccc""}",base,48-N/A,N/A,Not Applicable,,234,3,
952,"{""icon"": ""cff66ff""}",base,48-?,?,Not known,,234,2,
953,"{""icon"": ""c000000""}",base,49-1,1,present,,235,1,
954,"{""icon"": ""c990099""}",base,49-0,0,absent,,235,0,
955,"{""icon"": ""ccccccc""}",base,49-N/A,N/A,Not Applicable,,235,3,
956,"{""icon"": ""cff66ff""}",base,49-?,?,Not known,,235,2,
957,"{""icon"": ""c000000""}",base,5-1,1,present,,236,1,
958,"{""icon"": ""c9999ff""}",base,5-0,0,absent,,236,0,
959,"{""icon"": ""cff4400""}",base,5-?,?,Not known,,236,2,
960,"{""icon"": ""c000000""}",base,50-1,1,present,,237,1,
961,"{""icon"": ""c990099""}",base,50-0,0,absent,,237,0,
962,"{""icon"": ""ccccccc""}",base,50-N/A,N/A,Not Applicable,,237,3,
963,"{""icon"": ""cff66ff""}",base,50-?,?,Not known,,237,2,
964,"{""icon"": ""c000000""}",base,51-1,1,present,,238,1,
965,"{""icon"": ""c990099""}",base,51-0,0,absent,,238,0,
966,"{""icon"": ""ccccccc""}",base,51-N/A,N/A,Not Applicable,,238,3,
967,"{""icon"": ""cff66ff""}",base,51-?,?,Not known,,238,2,
968,"{""icon"": ""c000000""}",base,52-1,1,present,,239,1,
969,"{""icon"": ""c990099""}",base,52-0,0,absent,,239,0,
970,"{""icon"": ""ccccccc""}",base,52-N/A,N/A,Not Applicable,,239,3,
971,"{""icon"": ""cff66ff""}",base,52-?,?,Not known,,239,2,
972,"{""icon"": ""c000000""}",base,53-1,1,present,,240,1,
973,"{""icon"": ""c990099""}",base,53-0,0,absent,,240,0,
974,"{""icon"": ""ccccccc""}",base,53-N/A,N/A,Not Applicable,,240,3,
975,"{""icon"": ""cff66ff""}",base,53-?,?,Not known,,240,2,
976,"{""icon"": ""c000000""}",base,54-1,1,present,,241,1,
977,"{""icon"": ""c990099""}",base,54-0,0,absent,,241,0,
978,"{""icon"": ""ccccccc""}",base,54-N/A,N/A,Not Applicable,,241,3,
979,"{""icon"": ""cff66ff""}",base,54-?,?,Not known,,241,2,
980,"{""icon"": ""c000000""}",base,55-1,1,present,,242,1,
981,"{""icon"": ""c990099""}",base,55-0,0,absent,,242,0,
982,"{""icon"": ""ccccccc""}",base,55-N/A,N/A,Not Applicable,,242,3,
983,"{""icon"": ""cff66ff""}",base,55-?,?,Not known,,242,2,
984,"{""icon"": ""c000000""}",base,56-1,1,present,,243,1,
985,"{""icon"": ""c990099""}",base,56-0,0,absent,,243,0,
986,"{""icon"": ""ccccccc""}",base,56-N/A,N/A,Not Applicable,,243,3,
987,"{""icon"": ""cff66ff""}",base,56-?,?,Not known,,243,2,
988,"{""icon"": ""c000000""}",base,57-1,1,present,,244,1,
989,"{""icon"": ""c990099""}",base,57-0,0,absent,,244,0,
990,"{""icon"": ""ccccccc""}",base,57-N/A,N/A,Not Applicable,,244,3,
991,"{""icon"": ""cff66ff""}",base,57-?,?,Not known,,244,2,
992,"{""icon"": ""c000000""}",base,58-1,1,present,,245,1,
993,"{""icon"": ""c990099""}",base,58-0,0,absent,,245,0,
994,"{""icon"": ""ccccccc""}",base,58-N/A,N/A,Not Applicable,,245,3,
995,"{""icon"": ""cff66ff""}",base,58-?,?,Not known,,245,2,
996,"{""icon"": ""c000000""}",base,59-1,1,present,,246,1,
997,"{""icon"": ""c990099""}",base,59-0,0,absent,,246,0,
998,"{""icon"": ""ccccccc""}",base,59-N/A,N/A,Not Applicable,,246,3,
999,"{""icon"": ""cff66ff""}",base,59-?,?,Not known,,246,2,
1000,"{""icon"": ""c000000""}",base,6-1,1,present,,247,1,
1001,"{""icon"": ""c9999ff""}",base,6-0,0,absent,,247,0,
1002,"{""icon"": ""cff4400""}",base,6-?,?,Not known,,247,2,
1003,"{""icon"": ""c000000""}",base,60-1,1,present,,248,1,
1004,"{""icon"": ""c990099""}",base,60-0,0,absent,,248,0,
1005,"{""icon"": ""ccccccc""}",base,60-N/A,N/A,Not Applicable,,248,3,
1006,"{""icon"": ""cff66ff""}",base,60-?,?,Not known,,248,2,
1007,"{""icon"": ""c000000""}",base,61-1,1,present,,249,1,
1008,"{""icon"": ""c990099""}",base,61-0,0,absent,,249,0,
1009,"{""icon"": ""ccccccc""}",base,61-N/A,N/A,Not Applicable,,249,3,
1010,"{""icon"": ""cff66ff""}",base,61-?,?,Not known,,249,2,
1011,"{""icon"": ""c000000""}",base,62-1,1,present,,250,1,
1012,"{""icon"": ""c990099""}",base,62-0,0,absent,,250,0,
1013,"{""icon"": ""ccccccc""}",base,62-N/A,N/A,Not Applicable,,250,3,
1014,"{""icon"": ""cff66ff""}",base,62-?,?,Not known,,250,2,
1015,"{""icon"": ""c000000""}",base,63-1,1,present,,251,1,
1016,"{""icon"": ""c990099""}",base,63-0,0,absent,,251,0,
1017,"{""icon"": ""ccccccc""}",base,63-N/A,N/A,Not Applicable,,251,3,
1018,"{""icon"": ""cff66ff""}",base,63-?,?,Not known,,251,2,
1019,"{""icon"": ""c000000""}",base,64-1,1,present,,252,1,
1020,"{""icon"": ""c990099""}",base,64-0,0,absent,,252,0,
1021,"{""icon"": ""ccccccc""}",base,64-N/A,N/A,Not Applicable,,252,3,
1022,"{""icon"": ""cff66ff""}",base,64-?,?,Not known,,252,2,
1023,"{""icon"": ""c000000""}",base,65-1,1,Possessor-Possessed,,253,0,
1024,"{""icon"": ""c66ff33""}",base,65-3,3,both,,253,2,
1025,"{""icon"": ""c99ffff""}",base,65-2,2,Possessed-Possessor,,253,1,
1026,"{""icon"": ""cdd0000""}",base,65-N/A,N/A,Not Applicable,,253,4,
1027,"{""icon"": ""cff66ff""}",base,65-?,?,Not known,,253,3,
1028,"{""icon"": ""c000000""}",base,66-1,1,present,,254,1,
1029,"{""icon"": ""c990099""}",base,66-0,0,absent,,254,0,
1030,"{""icon"": ""ccccccc""}",base,66-N/A,N/A,Not Applicable,,254,3,
1031,"{""icon"": ""cff66ff""}",base,66-?,?,Not known,,254,2,
1032,"{""icon"": ""c000000""}",base,67-N/A,N/A,Not Applicable,,255,5,
1033,"{""icon"": ""c009900""}",base,67-1,1,Decimal,,255,0,
1034,"{""icon"": ""c990099""}",base,67-3,3,Body-part tallying,,255,2,
1035,"{""icon"": ""c99ffff""}",base,67-2,2,Quinary,,255,1,
1036,"{""icon"": ""ccccccc""}",base,67-4,4,minimal,,255,3,
1037,"{""icon"": ""cff4400""}",base,67-?,?,Not known,,255,4,
1038,"{""icon"": ""c000000""}",base,68-1,1,present,,256,1,
1039,"{""icon"": ""c990099""}",base,68-0,0,absent,,256,0,
1040,"{""icon"": ""ccccccc""}",base,68-N/A,N/A,Not Applicable,,256,3,
1041,"{""icon"": ""cff66ff""}",base,68-?,?,Not known,,256,2,
1042,"{""icon"": ""c000000""}",base,69-1,1,present,,257,1,
1043,"{""icon"": ""c990099""}",base,69-0,0,absent,,257,0,
1044,"{""icon"": ""ccccccc""}",base,69-N/A,N/A,Not Applicable,,257,3,
1045,"{""icon"": ""cff66ff""}",base,69-?,?,Not known,,257,2,
1046,"{""icon"": ""c000000""}",base,7-1,1,present,,258,1,
1047,"{""icon"": ""c9999ff""}",base,7-0,0,absent,,258,0,
1048,"{""icon"": ""cff4400""}",base,7-?,?,Not known,,258,2,
1049,"{""icon"": ""c000000""}",base,70-1,1,present,,259,1,
1050,"{""icon"": ""c990099""}",base,70-0,0,absent,,259,0,
1051,"{""icon"": ""ccccccc""}",base,70-N/A,N/A,Not Applicable,,259,3,
1052,"{""icon"": ""cff66ff""}",base,70-?,?,Not known,,259,2,
1053,"{""icon"": ""c000000""}",base,71-1,1,present,,260,1,
1054,"{""icon"": ""c990099""}",base,71-0,0,absent,,260,0,
1055,"{""icon"": ""ccccccc""}",base,71-N/A,N/A,Not Applicable,,260,3,
1056,"{""icon"": ""cff66ff""}",base,71-?,?,Not known,,260,2,
1057,"{""icon"": ""c000000""}",base,72-1,1,present,,261,1,
1058,"{""icon"": ""c990099""}",base,72-0,0,absent,,261,0,
1059,"{""icon"": ""ccccccc""}",base,72-N/A,N/A,Not Applicable,,261,3,
1060,"{""icon"": ""cff66ff""}",base,72-?,?,Not known,,261,2,
1061,"{""icon"": ""c000000""}",base,73-1,1,present,,262,1,
1062,"{""icon"": ""c990099""}",base,73-0,0,absent,,262,0,
1063,"{""icon"": ""ccccccc""}",base,73-N/A,N/A,Not Applicable,,262,3,
1064,"{""icon"": ""cff66ff""}",base,73-?,?,Not known,,262,2,
1065,"{""icon"": ""c000000""}",base,74-1,1,present,,263,1,
1066,"{""icon"": ""c990099""}",base,74-0,0,absent,,263,0,
1067,"{""icon"": ""ccccccc""}",base,74-N/A,N/A,Not Applicable,,263,3,
1068,"{""icon"": ""cff66ff""}",base,74-?,?,Not known,,263,2,
1069,"{""icon"": ""c000000""}",base,75-1,1,present,,264,1,
1070,"{""icon"": ""c990099""}",base,75-0,0,absent,,264,0,
1071,"{""icon"": ""ccccccc""}",base,75-N/A,N/A,Not Applicable,,264,3,
1072,"{""icon"": ""cff66ff""}",base,75-?,?,Not known,,264,2,
1073,"{""icon"": ""c000000""}",base,76-1,1,present,,265,1,
1074,"{""icon"": ""c990099""}",base,76-0,0,absent,,265,0,
1075,"{""icon"": ""ccccccc""}",base,76-N/A,N/A,Not Applicable,,265,3,
1076,"{""icon"": ""cff66ff""}",base,76-?,?,Not known,,265,2,
1077,"{""icon"": ""c000000""}",base,77-1,1,present,,266,1,
1078,"{""icon"": ""c990099""}",base,77-0,0,absent,,266,0,
1079,"{""icon"": ""ccccccc""}",base,77-N/A,N/A,Not Applicable,,266,3,
1080,"{""icon"": ""cff66ff""}",base,77-?,?,Not known,,266,2,
1081,"{""icon"": ""c000000""}",base,78-1,1,present,,267,1,
1082,"{""icon"": ""c990099""}",base,78-0,0,absent,,267,0,
1083,"{""icon"": ""ccccccc""}",base,78-N/A,N/A,Not Applicable,,267,3,
1084,"{""icon"": ""cff66ff""}",base,78-?,?,Not known,,267,2,
1085,"{""icon"": ""c000000""}",base,79-1,1,present,,268,1,
1086,"{""icon"": ""c990099""}",base,79-0,0,absent,,268,0,
1087,"{""icon"": ""ccccccc""}",base,79-N/A,N/A,Not Applicable,,268,3,
1088,"{""icon"": ""cff66ff""}",base,79-?,?,Not known,,268,2,
1089,"{""icon"": ""c000000""}",base,8-1,1,present,,269,1,
1090,"{""icon"": ""c9999ff""}",base,8-0,0,absent,,269,0,
1091,"{""icon"": ""cff4400""}",base,8-?,?,Not known,,269,2,
1092,"{""icon"": ""c000000""}",base,80-1,1,present,,270,1,
1093,"{""icon"": ""c990099""}",base,80-0,0,absent,,270,0,
1094,"{""icon"": ""ccccccc""}",base,80-N/A,N/A,Not Applicable,,270,3,
1095,"{""icon"": ""cff66ff""}",base,80-?,?,Not known,,270,2,
1096,"{""icon"": ""c000000""}",base,81-1,1,present,,271,1,
1097,"{""icon"": ""c990099""}",base,81-0,0,absent,,271,0,
1098,"{""icon"": ""ccccccc""}",base,81-N/A,N/A,Not Applicable,,271,3,
1099,"{""icon"": ""cff66ff""}",base,81-?,?,Not known,,271,2,
1100,"{""icon"": ""c000000""}",base,82-1,1,present,,272,1,
1101,"{""icon"": ""c990099""}",base,82-0,0,absent,,272,0,
1102,"{""icon"": ""ccccccc""}",base,82-N/A,N/A,Not Applicable,,272,3,
1103,"{""icon"": ""cff66ff""}",base,82-?,?,Not known,,272,2,
1104,"{""icon"": ""c000000""}",base,83-1,1,present,,273,1,
1105,"{""icon"": ""c990099""}",base,83-0,0,absent,,273,0,
1106,"{""icon"": ""ccccccc""}",base,83-N/A,N/A,Not Applicable,,273,3,
1107,"{""icon"": ""cff66ff""}",base,83-?,?,Not known,,273,2,
1108,"{""icon"": ""c000000""}",base,84-1,1,present,,274,1,
1109,"{""icon"": ""c990099""}",base,84-0,0,absent,,274,0,
1110,"{""icon"": ""ccccccc""}",base,84-N/A,N/A,Not Applicable,,274,3,
1111,"{""icon"": ""cff66ff""}",base,84-?,?,Not known,,274,2,
1112,"{""icon"": ""c000000""}",base,85-1,1,present,,275,1,
1113,"{""icon"": ""c990099""}",base,85-0,0,absent,,275,0,
1114,"{""icon"": ""ccccccc""}",base,85-N/A,N/A,Not Applicable,,275,3,
1115,"{""icon"": ""cff66ff""}",base,85-?,?,Not known,,275,2,
1116,"{""icon"": ""c000000""}",base,86-1,1,present,,276,1,
1117,"{""icon"": ""c990099""}",base,86-0,0,absent,,276,0,
1118,"{""icon"": ""ccccccc""}",base,86-N/A,N/A,Not Applicable,,276,3,
1119,"{""icon"": ""cff66ff""}",base,86-?,?,Not known,,276,2,
1120,"{""icon"": ""c000000""}",base,87-1,1,present,,277,1,
1121,"{""icon"": ""c990099""}",base,87-0,0,absent,,277,0,
1122,"{""icon"": ""ccccccc""}",base,87-N/A,N/A,Not Applicable,,277,3,
1123,"{""icon"": ""cff66ff""}",base,87-?,?,Not known,,277,2,
1124,"{""icon"": ""c000000""}",base,88-1,1,present,,278,1,
1125,"{""icon"": ""c990099""}",base,88-0,0,absent,,278,0,
