pk,jsondata,name,description,markup_description,id,type,lang
341,{},sekp1241,,,glottolog:sekp1241,glottolog,en
342,{},kab,,,iso:kab,iso639-3,en
343,{},kaby1243,,,glottolog:kaby1243,glottolog,en
344,{},tya,,,iso:tya,iso639-3,en
345,{},tauy1241,,,glottolog:tauy1241,glottolog,en
346,{},bda,,,iso:bda,iso639-3,en
347,{},bayo1255,,,glottolog:bayo1255,glottolog,en
348,{},mrz,,,iso:mrz,iso639-3,en
349,{},nucl1622,,,glottolog:nucl1622,glottolog,en
350,{},mrq,,,iso:mrq,iso639-3,en
351,{},nort2845,,,glottolog:nort2845,glottolog,en
352,{},mrn,,,iso:mrn,iso639-3,en
353,{},chek1238,,,glottolog:chek1238,glottolog,en
354,{},mri,,,iso:mri,iso639-3,en
355,{},maor1246,,,glottolog:maor1246,glottolog,en
356,{},axk,,,iso:axk,iso639-3,en
357,{},yaka1272,,,glottolog:yaka1272,glottolog,en
358,{},ury,,,iso:ury,iso639-3,en
359,{},orya1242,,,glottolog:orya1242,glottolog,en
360,{},dbj,,,iso:dbj,iso639-3,en
361,{},idaa1241,,,glottolog:idaa1241,glottolog,en
362,{},rtm,,,iso:rtm,iso639-3,en
363,{},rotu1241,,,glottolog:rotu1241,glottolog,en
364,{},tkw,,,iso:tkw,iso639-3,en
365,{},tean1237,,,glottolog:tean1237,glottolog,en
366,{},nld,,,iso:nld,iso639-3,en
367,{},dutc1256,,,glottolog:dutc1256,glottolog,en
368,{},nlg,,,iso:nlg,iso639-3,en
369,{},gela1263,,,glottolog:gela1263,glottolog,en
370,{},szp,,,iso:szp,iso639-3,en
371,{},suab1238,,,glottolog:suab1238,glottolog,en
372,{},ngb,,,iso:ngb,iso639-3,en
373,{},nort2774,,,glottolog:nort2774,glottolog,en
374,{},jav,,,iso:jav,iso639-3,en
375,{},java1254,,,glottolog:java1254,glottolog,en
376,{},bfn,,,iso:bfn,iso639-3,en
377,{},buna1278,,,glottolog:buna1278,glottolog,en
378,{},bfm,,,iso:bfm,iso639-3,en
379,{},mmen1238,,,glottolog:mmen1238,glottolog,en
380,{},jao,,,iso:jao,iso639-3,en
381,{},yany1243,,,glottolog:yany1243,glottolog,en
382,{},xmz,,,iso:xmz,iso639-3,en
383,{},mori1268,,,glottolog:mori1268,glottolog,en
384,{},ymk,,,iso:ymk,iso639-3,en
385,{},makw1236,,,glottolog:makw1236,glottolog,en
386,{},jae,,,iso:jae,iso639-3,en
387,{},yabe1254,,,glottolog:yabe1254,glottolog,en
388,{},ksi,,,iso:ksi,iso639-3,en
389,{},kris1246,,,glottolog:kris1246,glottolog,en
390,{},geq,,,iso:geq,iso639-3,en
391,{},geme1244,,,glottolog:geme1244,glottolog,en
392,{},sms,,,iso:sms,iso639-3,en
393,{},skol1241,,,glottolog:skol1241,glottolog,en
394,{},kxa,,,iso:kxa,iso639-3,en
395,{},kair1263,,,glottolog:kair1263,glottolog,en
396,{},kxc,,,iso:kxc,iso639-3,en
397,{},kons1243,,,glottolog:kons1243,glottolog,en
398,{},tbi,,,iso:tbi,iso639-3,en
399,{},gaam1241,,,glottolog:gaam1241,glottolog,en
400,{},tbo,,,iso:tbo,iso639-3,en
401,{},tawa1275,,,glottolog:tawa1275,glottolog,en
402,{},paun1241,,,glottolog:paun1241,glottolog,en
403,{},ssd,,,iso:ssd,iso639-3,en
404,{},siro1249,,,glottolog:siro1249,glottolog,en
405,{},tbc,,,iso:tbc,iso639-3,en
406,{},taki1248,,,glottolog:taki1248,glottolog,en
407,{},hil,,,iso:hil,iso639-3,en
408,{},hili1240,,,glottolog:hili1240,glottolog,en
409,{},ssb,,,iso:ssb,iso639-3,en
410,{},sout2918,,,glottolog:sout2918,glottolog,en
411,{},baw,,,iso:baw,iso639-3,en
412,{},bamb1266,,,glottolog:bamb1266,glottolog,en
413,{},emi,,,iso:emi,iso639-3,en
414,{},muss1246,,,glottolog:muss1246,glottolog,en
415,{},crb,,,iso:crb,iso639-3,en
416,{},isla1278,,,glottolog:isla1278,glottolog,en
417,{},bae,,,iso:bae,iso639-3,en
418,{},bare1276,,,glottolog:bare1276,glottolog,en
419,{},she,,,iso:she,iso639-3,en
420,{},shek1245,,,glottolog:shek1245,glottolog,en
421,{},bam,,,iso:bam,iso639-3,en
422,{},bamb1269,,,glottolog:bamb1269,glottolog,en
423,{},arw,,,iso:arw,iso639-3,en
424,{},araw1276,,,glottolog:araw1276,glottolog,en
425,{},btx,,,iso:btx,iso639-3,en
426,{},bata1293,,,glottolog:bata1293,glottolog,en
427,{},aau,,,iso:aau,iso639-3,en
428,{},abau1245,,,glottolog:abau1245,glottolog,en
429,{},wol,,,iso:wol,iso639-3,en
430,{},nucl1347,,,glottolog:nucl1347,glottolog,en
431,{},irk,,,iso:irk,iso639-3,en
432,{},iraq1241,,,glottolog:iraq1241,glottolog,en
433,{},lug,,,iso:lug,iso639-3,en
434,{},gand1255,,,glottolog:gand1255,glottolog,en
435,{},tuv,,,iso:tuv,iso639-3,en
436,{},turk1308,,,glottolog:turk1308,glottolog,en
437,{},tuk,,,iso:tuk,iso639-3,en
438,{},turk1304,,,glottolog:turk1304,glottolog,en
439,{},kew,,,iso:kew,iso639-3,en
440,{},west2599,,,glottolog:west2599,glottolog,en
441,{},kjd,,,iso:kjd,iso639-3,en
442,{},sout2949,,,glottolog:sout2949,glottolog,en
443,{},ilo,,,iso:ilo,iso639-3,en
444,{},ilok1237,,,glottolog:ilok1237,glottolog,en
445,{},tlb,,,iso:tlb,iso639-3,en
446,{},tobe1252,,,glottolog:tobe1252,glottolog,en
447,{},tlf,,,iso:tlf,iso639-3,en
448,{},tele1256,,,glottolog:tele1256,glottolog,en
449,{},ung,,,iso:ung,iso639-3,en
450,{},ngar1284,,,glottolog:ngar1284,glottolog,en
451,{},unk,,,iso:unk,iso639-3,en
452,{},enaw1238,,,glottolog:enaw1238,glottolog,en
453,{},eto,,,iso:eto,iso639-3,en
454,{},eton1253,,,glottolog:eton1253,glottolog,en
455,{},had,,,iso:had,iso639-3,en
456,{},hata1243,,,glottolog:hata1243,glottolog,en
457,{},tgc,,,iso:tgc,iso639-3,en
458,{},tiga1245,,,glottolog:tiga1245,glottolog,en
459,{},tgo,,,iso:tgo,iso639-3,en
460,{},sude1239,,,glottolog:sude1239,glottolog,en
461,{},tgl,,,iso:tgl,iso639-3,en
462,{},taga1270,,,glottolog:taga1270,glottolog,en
463,{},bbn,,,iso:bbn,iso639-3,en
464,{},unea1237,,,glottolog:unea1237,glottolog,en
465,{},duc,,,iso:duc,iso639-3,en
466,{},duna1248,,,glottolog:duna1248,glottolog,en
467,{},swe,,,iso:swe,iso639-3,en
468,{},swed1254,,,glottolog:swed1254,glottolog,en
469,{},yap,,,iso:yap,iso639-3,en
470,{},yape1248,,,glottolog:yape1248,glottolog,en
471,{},bbp,,,iso:bbp,iso639-3,en
472,{},west2458,,,glottolog:west2458,glottolog,en
473,{},gax,,,iso:gax,iso639-3,en
474,{},bora1271,,,glottolog:bora1271,glottolog,en
475,{},mcb,,,iso:mcb,iso639-3,en
476,{},mach1267,,,glottolog:mach1267,glottolog,en
477,{},otr,,,iso:otr,iso639-3,en
478,{},otor1240,,,glottolog:otor1240,glottolog,en
479,{},rai,,,iso:rai,iso639-3,en
480,{},ramo1244,,,glottolog:ramo1244,glottolog,en
481,{},mcr,,,iso:mcr,iso639-3,en
482,{},meny1245,,,glottolog:meny1245,glottolog,en
483,{},lgu,,,iso:lgu,iso639-3,en
484,{},long1395,,,glottolog:long1395,glottolog,en
485,{},fuv,,,iso:fuv,iso639-3,en
486,{},nige1253,,,glottolog:nige1253,glottolog,en
487,{},fut,,,iso:fut,iso639-3,en
488,{},futu1245,,,glottolog:futu1245,glottolog,en
489,{},ank,,,iso:ank,iso639-3,en
490,{},goem1240,,,glottolog:goem1240,glottolog,en
491,{},fuf,,,iso:fuf,iso639-3,en
492,{},pula1262,,,glottolog:pula1262,glottolog,en
493,{},aio,,,iso:aio,iso639-3,en
494,{},aito1238,,,glottolog:aito1238,glottolog,en
495,{},mlv,,,iso:mlv,iso639-3,en
496,{},motl1237,,,glottolog:motl1237,glottolog,en
497,{},fuc,,,iso:fuc,iso639-3,en
498,{},pula1263,,,glottolog:pula1263,glottolog,en
499,{},cox,,,iso:cox,iso639-3,en
500,{},nant1250,,,glottolog:nant1250,glottolog,en
501,{},yss,,,iso:yss,iso639-3,en
502,{},yess1239,,,glottolog:yess1239,glottolog,en
503,{},gni,,,iso:gni,iso639-3,en
504,{},goon1238,,,glottolog:goon1238,glottolog,en
505,{},aia,,,iso:aia,iso639-3,en
506,{},aros1241,,,glottolog:aros1241,glottolog,en
507,{},rit,,,iso:rit,iso639-3,en
508,{},rita1239,,,glottolog:rita1239,glottolog,en
509,{},avn,,,iso:avn,iso639-3,en
510,{},avat1244,,,glottolog:avat1244,glottolog,en
511,{},cjm,,,iso:cjm,iso639-3,en
512,{},east2563,,,glottolog:east2563,glottolog,en
513,{},tqu,,,iso:tqu,iso639-3,en
514,{},touo1238,,,glottolog:touo1238,glottolog,en
515,{},pab,,,iso:pab,iso639-3,en
516,{},pare1272,,,glottolog:pare1272,glottolog,en
517,{},maip1246,,,glottolog:maip1246,glottolog,en
518,{},anz,,,iso:anz,iso639-3,en
519,{},anem1249,,,glottolog:anem1249,glottolog,en
520,{},phk,,,iso:phk,iso639-3,en
521,{},phak1238,,,glottolog:phak1238,glottolog,en
522,{},syk,,,iso:syk,iso639-3,en
523,{},suku1272,,,glottolog:suku1272,glottolog,en
524,{},nia,,,iso:nia,iso639-3,en
525,{},nias1242,,,glottolog:nias1242,glottolog,en
526,{},nid,,,iso:nid,iso639-3,en
527,{},ngan1295,,,glottolog:ngan1295,glottolog,en
528,{},kij,,,iso:kij,iso639-3,en
529,{},kili1267,,,glottolog:kili1267,glottolog,en
530,{},naf,,,iso:naf,iso639-3,en
