pk,jsondata,polymorphic_type,id,name,description,markup_description,glottolog_id,google_book_search_id,bibtex_type,author,year,title,type,booktitle,editor,pages,edition,journal,school,address,url,note,number,series,volume,publisher,organization,chapter,howpublished,year_int,startpage_int,pages_int
62,"{""gbs"": {}}",base,gcoateoatesngarinjin,Coate and Oates 1970,"A Grammar of Ngarinjin, Western Australia",,,,book,"Coate, H. H. J. and Oates, Lynette",1970,"A Grammar of Ngarinjin, Western Australia",,,,112,,,,Canberra,,,,"Australian Aboriginal Studies 25, Linguistic Series 10",,Canberra: Australian Institute of Aboriginal Studies,,,,,,
63,"{""gbs"": {}}",base,dcoateelkinngarinjin,Coate and Elkin 1974,Ngarinjin-English dictionary,,,,book,"Coate, H. H. J. and Elkin, A. P.",1974,Ngarinjin-English dictionary,,,,534,,,,,,,,,,University Of Sydney,,,,,,
64,"{""gbs"": {}}",base,typhaleanalysisaustralian,Hale 1973,Deep-surface canonical disparities in relation to analysis and change: an Australian example,,,,incollection,"Hale, Kenneth L.",1973,Deep-surface canonical disparities in relation to analysis and change: an Australian example,,Current trends in linguistics 8: Linguistics in Oceania,"Sebeok, Thomas A.",401-458,,,,,,,,,,Mouton,,,,,,
65,"{""gbs"": {}}",base,dhalewarlpiri,Hale 1995,An elementary Warlpiri dictionary,,,,book,"Hale, Kenneth L.",1995,An elementary Warlpiri dictionary,,,,52,,,,,,,,,,IAD Press,,,,,,
66,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""publisher"": ""Taylor & Francis"", ""language"": ""en"", ""pageCount"": 263, ""imageLinks"": {""smallThumbnail"": ""http://bks3.books.google.de/books?id=hmRkAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://bks3.books.google.de/books?id=hmRkAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=hmRkAAAAMAAJ&q=inauthor:Nash,+David+G.+intitle:Topics+in+Warlpiri+Grammar&dq=inauthor:Nash,+David+G.+intitle:Topics+in+Warlpiri+Grammar&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1986"", ""printType"": ""BOOK"", ""contentVersion"": ""0.1.1.0.preview.0"", ""industryIdentifiers"": [{""identifier"": ""UOM:39015011280495"", ""type"": ""OTHER""}], ""authors"": [""David Nash""], ""title"": ""Topics in Warlpiri Grammar"", ""infoLink"": ""http://books.google.de/books?id=hmRkAAAAMAAJ&dq=inauthor:Nash,+David+G.+intitle:Topics+in+Warlpiri+Grammar&hl=&source=gbs_api"", ""categories"": [""Social Science""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Topics_in_Warlpiri_Grammar.html?hl=&id=hmRkAAAAMAAJ""}, ""searchInfo"": {""textSnippet"": ""<b>David</b> Nash. Cassettes&quot;, ll cassettes covering l3 lessons, and songs. PART II: <br>\nOTHER WORKS Abraham, Werner (ed.) l978. Valence, Semantic Case, and <br>\n<b>Grammatical</b> Relations. (Papers prepared for the Working Group &quot;Valence and&nbsp;...""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""PDXfavD4ZPQ"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=hmRkAAAAMAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""hmRkAAAAMAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/hmRkAAAAMAAJ""}}",base,gnashwarlpiri,Nash 1980,Topics in Warlpiri Grammar,,,hmRkAAAAMAAJ,phdthesis,"Nash, David G.",1980,Topics in Warlpiri Grammar,,,,255,,,Massachusetts Institute of Technology,"Cambridge, Mass.",,Also published by Garland 1986.,,,,,,,,,,
67,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""publisher"": ""Kluwer Academic Publishers"", ""subtitle"": ""a lexicalist approach"", ""language"": ""en"", ""publishedDate"": ""1991"", ""imageLinks"": {""smallThumbnail"": ""http://bks5.books.google.de/books?id=2XVkAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://bks5.books.google.de/books?id=2XVkAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=2XVkAAAAMAAJ&q=inauthor:Simpson,+Jane+H.+intitle:Warlpiri+morphosyntax:+a+lexicalist+approach+inpublisher:Kluwer+Academic&dq=inauthor:Simpson,+Jane+H.+intitle:Warlpiri+morphosyntax:+a+lexicalist+approach+inpublisher:Kluwer+Academic&hl=&cd=1&source=gbs_api"", ""title"": ""Warlpiri morpho-syntax"", ""printType"": ""BOOK"", ""pageCount"": 491, ""contentVersion"": ""0.1.1.0.preview.0"", ""industryIdentifiers"": [{""identifier"": ""0792312929"", ""type"": ""ISBN_10""}, {""identifier"": ""9780792312925"", ""type"": ""ISBN_13""}], ""authors"": [""Jane Helen Simpson""], ""infoLink"": ""http://books.google.de/books?id=2XVkAAAAMAAJ&dq=inauthor:Simpson,+Jane+H.+intitle:Warlpiri+morphosyntax:+a+lexicalist+approach+inpublisher:Kluwer+Academic&hl=&source=gbs_api"", ""categories"": [""Social Science""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Warlpiri_morpho_syntax.html?hl=&id=2XVkAAAAMAAJ""}, ""searchInfo"": {""textSnippet"": ""a <b>lexicalist approach Jane</b> Helen Simpson. Studies in Natural ... <b>H</b>. Lasnik: <br>\nEssays on Restrictiveness and Learnability. ... 3 1 1 -9; Pb 0-7923- 1 323-2 <br>\nKluwer <b>Academic</b> Publishers - Dordrecht / Boston / London lory 23\u00ab MS !3\u00ab m B:r <br>\n:r ,!3&gt; ) -l.u..""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""lHfi2OUPTQQ"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=2XVkAAAAMAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""2XVkAAAAMAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/2XVkAAAAMAAJ""}}",base,gsimpsonwarlpiri1991,Simpson 1991,Warlpiri morphosyntax: a lexicalist approach,,,2XVkAAAAMAAJ,book,"Simpson, Jane H.",1991,Warlpiri morphosyntax: a lexicalist approach,,,,491,,,,,,,,,,Kluwer Academic,,,,,,
68,"{""gbs"": {}}",base,gpeckhammairasi,Peckham 2000,Tentative Mairasi grammar,,,,misc,"Peckham, Lloyd",2000,Tentative Mairasi grammar,,,,,,,,,,,,,,,,,"Ukarumpa: SIL, Ms",,,
69,"{""gbs"": {}}",base,gbrileybauzi,Briley 1997,Four grammatical marking systems in Bauzi,,,,incollection,"Briley, David",1997,Four grammatical marking systems in Bauzi,,Papers in Papuan linguistics No. 2,"Franklin, Karl J.",1-131,,,,,,,,Pacific Linguistics: Series A,85,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
70,"{""gbs"": {}}",base,phonsaaribine,Saari 1992,Organized Phonology Data,,,,misc,"Saari, Sinikka",1992,Organized Phonology Data,,,,,,,,,,,,,,,,,"Ukarumpa: SIL, Ms",,,
71,"{""gbs"": {}}",base,gdrabbekamoro,Drabbe 1953,Spraakkunst van de Kamoro-Taal,,,,book,"Drabbe, Peter",1953,Spraakkunst van de Kamoro-Taal,,,,111,,,,,,,,,,'S-Gravenhage: Martinus Nijhoff,,,,,,
72,"{""gbs"": {}}",base,gobatabilua,Obata 2003,A Grammar of Bilua: A Papuan Language of the Solomon Islands,,,,book,"Obata, Kazuko",2003,A Grammar of Bilua: A Papuan Language of the Solomon Islands,,,,xxi+333,,,,Canberra,,"Also as Obata, Kazuko. 2000. A grammar of Bilua, a Papuan language of the Solomon Islands. Ph.D. thesis, Australian National University.",,Pacific Linguistics,540,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
73,"{""gbs"": {}}",base,gvanbodegravengizrra,Van Bodegraven and Van Bodegraven 2004,Gizrra Grammar Essentials,,,,misc,"Van Bodegraven, Nico and Van Bodegraven, Elly",2004,Gizrra Grammar Essentials,,,,,,,,,,,,,,,,,"Ukarumpa: SIL, Ms",,,
74,"{""gbs"": {}}",base,phonvanbodegravengizrra,Van Bodegraven and Van Bodegraven 2004,Phonology essentials of the Gizrra language,,,,misc,"Van Bodegraven, Nico and Van Bodegraven, Elly",2004,Phonology essentials of the Gizrra language,,,,,,,,,,,,,,,,,"Ukarumpa: SIL, Ms",,,
75,"{""gbs"": {}}",base,gvandenheuvelbiak,van den Heuvel 2006,Biak: Description of an Austronesian language of Papua,,,,phdthesis,"van den Heuvel, Wilco",2006,Biak: Description of an Austronesian language of Papua,,,,478,,,Vrije Universiteit Amsterdam,,,,,LOT Dissertation Series,138,,,,,,,
76,"{""gbs"": {}}",base,sclynesbelait,Clynes 2005,Belait,,,,incollection,"Clynes, Adrian",2005,Belait,,The Austronesian Languages of Asia and Madagascar,"Adelaar, Alexander and Himmelmann, Nikolaus",429-455,,,,London &New York,,,,Routledge Language Family Series,,London &New York: Routledge,,,,,,
77,"{""gbs"": {}}",base,gvanoverberghiloko,Vanoverbergh 1955,Iloko grammar,,,,book,"Vanoverbergh, Morice",1955,Iloko grammar,,,,x+348,,,,,,,,,,Baguio City: Catholic School Press,,,,,,
78,"{""gbs"": {}}",base,gdrubinoilocano2000,Rubino 2000,"Ilocano Dictionary and Grammar: Ilocano-English, English-Ilocano",,,,book,"Rubino, Carl Ralph Galvez",2000,"Ilocano Dictionary and Grammar: Ilocano-English, English-Ilocano",,,,775,,,,Honolulu,\url{http://print.google.com/print?id=qG-zAa_rjoMC},,,Pali Language Texts: Micronesia,,Honolulu: University of Hawaii Press,,,,,,
79,"{""gbs"": {}}",base,srubinoiloko,Rubino 2005,Iloko,,,,incollection,"Rubino, Carl",2005,Iloko,,The Austronesian Languages of Asia and Madagascar,"Adelaar, Alexander and Himmelmann, Nikolaus",326-349,,,,London &New York,,,,Routledge Language Family Series,,London &New York: Routledge,,,,,,
80,"{""gbs"": {}}",base,skroegerkimaragang,Kroeger 2005,Kimaragang,,,,incollection,"Kroeger, Paul",2005,Kimaragang,,The Austronesian Languages of Asia and Madagascar,"Adelaar, Alexander and Himmelmann, Nikolaus",397-428,,,,London &New York,,,,Routledge Language Family Series,,London &New York: Routledge,,,,,,
81,"{""gbs"": {}}",base,gvandenbergmuna,van den Berg 1989,A Grammar of the Muna Language,,,,phdthesis,"van den Berg, René",1989,A Grammar of the Muna Language,,,,xviii+376,,,Rijksuniversiteit te Leiden,,,,,,,,,,,,,
82,"{""gbs"": {}}",base,sjunsama,Akamine 2005,Sama (Bajau),,,,incollection,"Akamine, Jun",2005,Sama (Bajau),,The Austronesian Languages of Asia and Madagascar,"Adelaar, Alexander and Himmelmann, Nikolaus",377-396,,,,London &New York,,,,Routledge Language Family Series,,London &New York: Routledge,,,,,,
83,"{""gbs"": {}}",base,gbowdentaba,Bowden 2001,Taba: Description of a Southern Halmahera Language,,,,book,"Bowden, John",2001,Taba: Description of a Southern Halmahera Language,,,,459,,,,Canberra,,,,Pacific Linguistics,514,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
84,"{""gbs"": {}}",base,shimmelmanntagalog,Himmelmann 2005,Tagalog,,,,incollection,"Himmelmann, Nikolaus",2005,Tagalog,,The Austronesian Languages of Asia and Madagascar,"Adelaar, Alexander and Himmelmann, Nikolaus",350-376,,,,,,,,Routledge Language Family Series,,London &New York: Routledge,,,,,,
85,"{""gbs"": {}}",base,gvanstadentidore,van Staden 2000,Tidore: A Linguistic Description of a Language of the North Moluccas,,,,phdthesis,"van Staden, Miriam",2000,Tidore: A Linguistic Description of a Language of the North Moluccas,,,,xvii+567,,,Rijksuniversiteit te Leiden,Leiden,,,,,,,,,,,,
86,"{""gbs"": {}}",base,szeitountsou,Zeitoun 2005,Tsou,,,,incollection,"Zeitoun, Elizabeth",2005,Tsou,,The Austronesian Languages of Asia and Madagascar,"Adelaar, Alexander and Himmelmann, Nikolaus",259-290,,,,London &New York,,,,Routledge Language Family Series,,London &New York: Routledge,,,,,,
87,"{""gbs"": {}}",base,slynchxaracuu,Lynch 2002,Xârâcùù,,,,incollection,"Lynch, John",2002,Xârâcùù,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",765-775,,,,Richmond,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
88,"{""gbs"": {}}",base,slynchcemuhi,Lynch 2002,Cèmuhî,,,,incollection,"Lynch, John",2002,Cèmuhî,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",753-764,,,,Richmond,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
89,"{""gbs"": {}}",base,scrowleymwotlap,Crowley 2002,Mwotlap,,,,incollection,"Crowley, Terry",2002,Mwotlap,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",587-598,,,,Richmond,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
90,"{""gbs"": {}}",base,gcrowleyerromangan,Crowley 1998,An Erromangan (Sye) Grammar,,,,book,"Crowley, Terry",1998,An Erromangan (Sye) Grammar,,,,xiii+294,,,,,,,,Oceanic Linguistics Special Publication,27,Honolulu: University of Hawaii Press,,,,,,
91,"{""gbs"": {}}",base,scrowleysye,Crowley 2002,Sye,,,,incollection,"Crowley, Terry",2002,Sye,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",694-722,,,,,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
92,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""publisher"": ""University of Chicago Press"", ""description"": ""The people who live in the Boumaa region of the Fijian island of Taveuni speak a dialect of Fijian that is mutually intelligible with Standard Fijian, the two differing as much perhaps as do the American and British varieties of English. During 1985, R. M. W. Dixon\u2014one of the most insightful of linguists engaged in descriptive studies today\u2014lived in the village of Waitabu and studied the language spoken there. He found in Boumaa Fijian a wealth of striking features unknown in commonly studied languages and on the basis of his fieldwork prepared this grammar. Fijian is an agglutinating language, one in which words are formed by the profligate combining of morphemes. There are no case inflections, and tense and aspect as shown by independent clitics or words within a predicate complex. Most verbs come in both transitive and intransitive forms, and nouns can be build up regularly from verbal parts and verbs from nouns. The language is also marked by a highly developed pronoun system and by a vocabulary rich in areas of social significance. In the opening chapters, Dixon describes the Islands' political, social, and linguistic organization, outlines the main points of Fijian phonology, and presents an overview of the grammar. In succeeding chapters, he examines a number of grammatical topics in greater detail, including clause and phrase structure, verbal syntax, deictics, and anaphora. The volume also includes a full vocabulary of all forms treated in discussion and three of the fifteen texts recorded from monolingual village elders on which the grammar is based."", ""language"": ""en"", ""publishedDate"": ""1988-01"", ""imageLinks"": {""smallThumbnail"": ""http://bks2.books.google.de/books?id=XprfwvX3194C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://bks2.books.google.de/books?id=XprfwvX3194C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=XprfwvX3194C&printsec=frontcover&dq=inauthor:Dixon,+R.+M.+W.+intitle:A+Grammar+of+Boumaa+Fijian+inpublisher:Chicago:+University+of+Chicago+Press&hl=&cd=1&source=gbs_api"", ""title"": ""A Grammar of Boumaa Fijian"", ""printType"": ""BOOK"", ""pageCount"": 375, ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""0226154289"", ""type"": ""ISBN_10""}, {""identifier"": ""9780226154282"", ""type"": ""ISBN_13""}], ""authors"": [""R. M. W. Dixon""], ""infoLink"": ""http://books.google.de/books?id=XprfwvX3194C&dq=inauthor:Dixon,+R.+M.+W.+intitle:A+Grammar+of+Boumaa+Fijian+inpublisher:Chicago:+University+of+Chicago+Press&hl=&source=gbs_api"", ""categories"": [""Foreign Language Study""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_Grammar_of_Boumaa_Fijian.html?hl=&id=XprfwvX3194C""}, ""searchInfo"": {""textSnippet"": ""The volume also includes a full vocabulary of all forms treated in discussion and three of the fifteen texts recorded from monolingual village elders on which the grammar is based.""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""ONnPvmvjQ+8"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=XprfwvX3194C&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": true, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""PARTIAL"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""SAMPLE""}, ""id"": ""XprfwvX3194C"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/XprfwvX3194C""}}",base,gdixonboumaa,Dixon 1988,A Grammar of Boumaa Fijian,,,XprfwvX3194C,book,"Dixon, R. M. W.",1988,A Grammar of Boumaa Fijian,,,,xvi+375,,,,Chicago,,,,,,Chicago: University of Chicago Press,,,,,,
93,"{""gbs"": {}}",base,gthiebergersefate,Thieberger 2006,A Grammar of South Efate: An Oceanic Language of Vanuatu,,,,book,"Thieberger, Nicholas",2006,A Grammar of South Efate: An Oceanic Language of Vanuatu,,,,xxviii+384,,,,Honolulu,,,,Oceanic Linguistics Special Publication,33,Honolulu: University of Hawai'i Press,,,,,,
94,"{""gbs"": {}}",base,gwilsonambulas,Wilson 1980,Ambulas Grammar,,,,book,"Wilson, Patricia R.",1980,Ambulas Grammar,,,,477,,,,"Ukarumpa, Papua New Guinea",http://www.sil.org/pacific/png/abstract.asp?id=21876,,,Workpapers in Papua New Guinea Languages,26,"Ukarumpa, Papua New Guinea: The Summer Institute of Linguistics",,,,,,
95,"{""gbs"": {}}",base,sdasguptasharmaonge,Dasgupta and Sharma 1982,A Hand Book of Onge Language,,,,book,"Dasgupta, Dipankar and Sharma, S. R.",1982,A Hand Book of Onge Language,,,,75,,,,Calcutta,,,,,,"Calcutta: Anthropological Survey of India, Government of India",,,,,,
96,"{""gbs"": {}}",base,sabbiandaman,Abbi 2006,Endangered Languages of the Andaman Islands,,,,book,"Abbi, Anvita",2006,Endangered Languages of the Andaman Islands,,,,117,,,,München,,,,LINCOM Studies in Asian Linguistics,64,München: Lincom,,,,,,
97,"{""gbs"": {}}",base,hvblevinssister,Blevins 2007,"A Long Lost Sister of Austronesian? Proto-Ongan, Mother of Jarawa and Onge of the Andaman Islands",,,,article,"Blevins, Juliette",2007,"A Long Lost Sister of Austronesian? Proto-Ongan, Mother of Jarawa and Onge of the Andaman Islands",,,,154-198,,Oceanic Linguistics,,,,,1,,46,,,,,,,
98,"{""gbs"": {}}",base,graykiwai,Ray 1931,"A grammar of the Kiwai language, Fly Delta, Papua with a Kiwai vocabulary",,,,book,"Ray, Sidney H.",1931,"A grammar of the Kiwai language, Fly Delta, Papua with a Kiwai vocabulary",,,,iv+173,,,,Port Moresby,,,,,,"Port Moresby: Edward George Baker, Government Printer",,,,,,
99,"{""gbs"": {}}",base,scrowleybandjalang,Crowley 1978,The Middle Clarence Dialects of Bandjalang,,,,book,"Crowley, Terry",1978,The Middle Clarence Dialects of Bandjalang,,,,,,,,Canberra,,,,"Australian Aboriginal Studies, Research and Regional Studies No. 12",,Canberra: Australian Institute of Aboriginal Studies,,,,,,
100,"{""gbs"": {}}",base,gtsharpeyugambehbandjalung,Sharpe 2005,Grammar and texts of the Yugambeh-Bundjalung dialect chain in Eastern Australia,,,,book,"Sharpe, Margareth C.",2005,Grammar and texts of the Yugambeh-Bundjalung dialect chain in Eastern Australia,,,,vii+180,,,,,,,,Languages of the World/Materials,370,München: Lincom,,,,,,
101,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 790, ""previewLink"": ""http://books.google.de/books?id=xDBGHQAACAAJ&dq=inauthor:Bowern,+Claire+intitle:Bardi+Verb+Morphology+in+Historical+Perspective&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2004"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:71268785"", ""type"": ""OTHER""}], ""authors"": [""Claire Bowern""], ""title"": ""Bardi Verb Morphology in Historical Perspective"", ""infoLink"": ""http://books.google.de/books?id=xDBGHQAACAAJ&dq=inauthor:Bowern,+Claire+intitle:Bardi+Verb+Morphology+in+Historical+Perspective&hl=&source=gbs_api"", ""categories"": [""Australian languages""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Bardi_Verb_Morphology_in_Historical_Pers.html?hl=&id=xDBGHQAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""Lv4Nm3JQyWM"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=xDBGHQAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""xDBGHQAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/xDBGHQAACAAJ""}}",base,gbowernbardi2004,Bowern 2004,Bardi Verb Morphology in Historical Perspective,,,xDBGHQAACAAJ,phdthesis,"Bowern, Claire",2004,Bardi Verb Morphology in Historical Perspective,,,,xv+395,,,Harvard University,,,,,,,,,,,,,
102,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 94, ""previewLink"": ""http://books.google.de/books?id=aOq2tgAACAAJ&dq=inauthor:Green,+Rebecca+intitle:A+Sketch+Grammar+of+Burarra&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1987"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:222185770"", ""type"": ""OTHER""}], ""authors"": [""Rebecca Green""], ""title"": ""A Sketch Grammar of Burarra"", ""infoLink"": ""http://books.google.de/books?id=aOq2tgAACAAJ&dq=inauthor:Green,+Rebecca+intitle:A+Sketch+Grammar+of+Burarra&hl=&source=gbs_api"", ""categories"": [""Burarra language""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_Sketch_Grammar_of_Burarra.html?hl=&id=aOq2tgAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""+4ohMHRKLM8"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=aOq2tgAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""aOq2tgAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/aOq2tgAACAAJ""}}",base,sgreenburarra,Green 1987,A Sketch Grammar of Burarra,,,aOq2tgAACAAJ,mastersthesis,"Green, Rebecca",1987,A Sketch Grammar of Burarra,,,,94,,,Canberra: Australian National University,Canberra,,,,,,,,,,,,
103,"{""gbs"": {}}",base,spipermeryam,Piper 1989,A Sketch Grammar of Meryam Mer,,,,mastersthesis,"Piper, Nick",1989,A Sketch Grammar of Meryam Mer,,,,,,,Canberra: Australian National University,,,,,,,,,,,,,
104,"{""gbs"": {}}",base,spipermeryam2013,Piper 2013 [1989],A Sketch Grammar of Meryam Mer,,,,book,"Piper, Nick",2013 [1989],A Sketch Grammar of Meryam Mer,,,,240,,,,,,,,Outstanding grammars from Australia,14,München: LINCOM,,,,,,
105,"{""gbs"": {}}",base,typcerinyaraldi,Cerin 1994,The pronominal system of Yaraldi,,,,mastersthesis,"Cerin, Mark",1994,The pronominal system of Yaraldi,,,,iv+181,,,University of Melbourne,,,,,,,,,,,,,
106,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""description"": ""This is a study of 5 Australian Aboriginal languages from along the Lower-Murray River: Yaraldi, Ngayawang, Yu-Yu, Keramin and Yitha-Yitha. These languages ceased to be spoken by the early 20th century, so most of the source material is from the 19th century. This thesis examines these languages individually and collectively, in terms of their phonology, morphology and lexicon. A lexico-statistical analysis is made with the Lower-Murray languages and with neighbouring languages. Through the examination of these different features, their relationship and status as a group is considered."", ""language"": ""en"", ""pageCount"": 670, ""previewLink"": ""http://books.google.de/books?id=Pe4JPAAACAAJ&dq=inauthor:Horgen,+Michael+intitle:The+languages+of+the+Lower+Murray&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2004"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:271518542"", ""type"": ""OTHER""}], ""authors"": [""Michael Horgen""], ""title"": ""The Languages of the Lower-Murray"", ""infoLink"": ""http://books.google.de/books?id=Pe4JPAAACAAJ&dq=inauthor:Horgen,+Michael+intitle:The+languages+of+the+Lower+Murray&hl=&source=gbs_api"", ""categories"": [""Ngarrindjeri language""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/The_Languages_of_the_Lower_Murray.html?hl=&id=Pe4JPAAACAAJ""}, ""searchInfo"": {""textSnippet"": ""This is a study of 5 Australian Aboriginal languages from along the Lower-Murray River: Yaraldi, Ngayawang, Yu-Yu, Keramin and Yitha-Yitha.""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""KYgSqPO7+m4"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=Pe4JPAAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""Pe4JPAAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/Pe4JPAAACAAJ""}}",base,hvwhorgenlowermurray,Horgen 2004,The languages of the Lower Murray,,,Pe4JPAAACAAJ,mastersthesis,"Horgen, Michael",2004,The languages of the Lower Murray,,,,670,,,LaTrobe University,,,,,,,,,,,,,
107,"{""gbs"": {}}",base,phonmcdonaldyaraldi,McDonald 2002,A study of the phonetics and phonology of Yaraldi and associated dialects,,,,book,"McDonald, Maryalyce",2002,A study of the phonetics and phonology of Yaraldi and associated dialects,,,,134,,,,München,,,,,,München: Lincom,,,,,,
